filename,label
acne_144__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_154__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_171__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_182__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_193__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_Crop-0350_100400194__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_Crop-100350_100300157__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_Crop-100350_100300174__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg,acne
acne_Crop-100450_0300142__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
acne_Crop-100450_0300166__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,acne
hyperpigmentation_acquired-dermal-macular-hyperpigmentation-017__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,hyperpigmentation
hyperpigmentation_Crop-0350_0300acquired-dermal-macular-hyperpigmentation-002__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,hyperpigmentation
hyperpigmentation_Crop-0350_0300acquired-dermal-macular-hyperpigmentation-014__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,hyperpigmentation
hyperpigmentation_Crop-0350_100400acquired-dermal-macular-hyperpigmentation-008-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,hyperpigmentation
hyperpigmentation_Crop-0350_100400lp-pigmentosus2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,hyperpigmentation
hyperpigmentation_Crop-100350_100300acquired-dermal-macular-hyperpigmentation-013__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,hyperpigmentation
hyperpigmentation_padd-00_1000acquired-dermal-macular-hyperpigmentation-015__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,hyperpigmentation
hyperpigmentation_padd-1000_00acquired-dermal-macular-hyperpigmentation-013__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,hyperpigmentation
hyperpigmentation_padd-1000_00acquired-dermal-macular-hyperpigmentation-022__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,hyperpigmentation
hyperpigmentation_saturation-50acquired-dermal-macular-hyperpigmentation-018__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,hyperpigmentation
nail-psoriasis_3227__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpeg,nail psoriasis
nail-psoriasis_3231__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpeg,nail psoriasis
nail-psoriasis_3235__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpeg,nail psoriasis
nail-psoriasis_3240__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,nail psoriasis
nail-psoriasis_3247__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,nail psoriasis
nail-psoriasis_3252__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,nail psoriasis
nail-psoriasis_3260__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,nail psoriasis
nail-psoriasis_3264__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDRd.jpeg,nail psoriasis
nail-psoriasis_3265__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDdd.jpeg,nail psoriasis
nail-psoriasis_3266__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDdd.jpeg,nail psoriasis
sjs-ten_Crop-0350_0300sjs-ten-arm-90__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-arm-91__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-arm-93__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-face-30__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-face-34__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-face-35__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDEwMF0.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-face-38__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDExN10.jpeg,sjs ten
sjs-ten_Crop-0350_0300sjs-ten-face-40__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,sjs ten
